Time step	Applied current[A]	Active interface left current[A]	Active interface right current[A]
71	1.4042809578332822e-08	1.3310243012786068e-08	1.4418712490409628e-08
72	1.4042809578332822e-08	1.3095572810096922e-08	1.4437955660230183e-08
73	1.4042809578332822e-08	1.2911892804897785e-08	1.4430190481308127e-08
74	1.4042809578332822e-08	1.2761356121032462e-08	1.4388564199873849e-08
75	1.4042809578332822e-08	1.2645258469375897e-08	1.43119978916794e-08
76	1.4042809578332822e-08	1.2563608296981122e-08	1.4207336760634247e-08
77	1.4042809578332822e-08	1.251507358224181e-08	1.4091559127560943e-08
78	1.4042809578332822e-08	1.24978861600005e-08	1.3991629594225399e-08
79	1.4042809578332822e-08	1.2510132733186564e-08	1.3932817547726625e-08
80	1.4042809578332822e-08	1.2549180334818537e-08	1.3921869091129654e-08
81	1.4042809578332822e-08	1.2613353552583207e-08	1.3946987078274642e-08
82	1.4042809578332822e-08	1.2700009028695604e-08	1.3989384331604894e-08
83	1.4042809578332822e-08	1.2806581698534133e-08	1.4030302728444813e-08
84	1.4042809578332822e-08	1.2930344607085382e-08	1.405516339705238e-08
85	1.4042809578332822e-08	1.3068398839923262e-08	1.4059349787796564e-08
86	1.4042809578332822e-08	1.3217658869251341e-08	1.4049729808897537e-08
87	1.4042809578332822e-08	1.3374772539995472e-08	1.403841795983328e-08
88	1.4042809578332822e-08	1.3536096091285314e-08	1.4032845180640492e-08
89	1.4042809578332822e-08	1.369774450992879e-08	1.4031215411547092e-08
90	1.4042809578332822e-08	1.3855595799752816e-08	1.4027580486582715e-08
91	1.4042809578332822e-08	1.4005256215409398e-08	1.4016601036864453e-08
92	1.4042809578332822e-08	1.4142043028170862e-08	1.3995366192290945e-08
93	1.4042809578332822e-08	1.4260978071409802e-08	1.3964518650333083e-08
94	1.4042809578332822e-08	1.4357183612240567e-08	1.3928798993259508e-08
95	1.4042809578332822e-08	1.4424149416362845e-08	1.3894135977634828e-08
96	1.4042809578332822e-08	1.4456385666438663e-08	1.3866840799629607e-08
97	1.4042809578332822e-08	1.444760094936553e-08	1.3849501687502535e-08
98	1.4042809578332822e-08	1.4391220475270023e-08	1.384204324597811e-08
99	1.4042809578332822e-08	1.4282558377246393e-08	1.3843319993988982e-08
100	1.4042809578332822e-08	1.4126368986394707e-08	1.385181858472735e-08
101	1.4042809578332822e-08	1.3938440988921898e-08	1.386588995236439e-08
102	1.4042809578332822e-08	1.3733515615934652e-08	1.3883726449041859e-08
103	1.4042809578332822e-08	1.3525332911616998e-08	1.3903590917570643e-08
104	1.4042809578332822e-08	1.3324197275113336e-08	1.3924089237927617e-08
105	1.4042809578332822e-08	1.3135060956188765e-08	1.3944183167508817e-08
106	1.4042809578332822e-08	1.2960423418944344e-08	1.3963141238394327e-08
107	1.4042809578332822e-08	1.2801550712550706e-08	1.398053408755836e-08
108	1.4042809578332822e-08	1.2659431371284966e-08	1.3996171501926777e-08
109	1.4042809578332822e-08	1.2534990400478065e-08	1.4009934293448946e-08
110	1.4042809578332822e-08	1.2429080206488826e-08	1.4021592196908183e-08
111	1.4042809578332822e-08	1.2342466449873924e-08	1.4030848940322107e-08
112	1.4042809578332822e-08	1.2275812910008171e-08	1.4037559639469527e-08
113	1.4042809578332822e-08	1.2229667055799995e-08	1.4041956330685928e-08
114	1.4042809578332822e-08	1.2204447002272172e-08	1.4044679587269202e-08
115	1.4042809578332822e-08	1.2200429427577994e-08	1.4046581835634859e-08
116	1.4042809578332822e-08	1.2218165964855049e-08	1.4049004951625105e-08
117	1.4042809578332822e-08	1.2256789520940229e-08	1.4052057914898224e-08
118	1.4042809578332822e-08	1.231643830817176e-08	1.405699740859353e-08
119	1.4042809578332822e-08	1.2396691725221808e-08	1.4064549373154623e-08
120	1.4042809578332822e-08	1.2496908718923672e-08	1.4075126881943103e-08
121	1.4042809578332822e-08	1.2616226679237988e-08	1.408876476931129e-08
122	1.4042809578332822e-08	1.275355176673e-08	1.4105033856652759e-08
123	1.4042809578332822e-08	1.2907549769432711e-08	1.4122859404161921e-08
124	1.4042809578332822e-08	1.3041755028061859e-08	1.4137198050913226e-08
125	1.4042809578332822e-08	1.3155041057800571e-08	1.4147672581178122e-08
126	1.4042809578332822e-08	1.3249699252930819e-08	1.415595031378073e-08
127	1.4042809578332822e-08	1.3327588092333471e-08	1.416237886910724e-08
128	1.4042809578332822e-08	1.3391158441633623e-08	1.416743653254033e-08
129	1.4042809578332822e-08	1.3442760440749188e-08	1.4171450158470765e-08
130	1.4042809578332822e-08	1.3492487557776978e-08	1.4175211950404885e-08
131	1.4042809578332822e-08	1.3542716604996768e-08	1.4178963262480605e-08
132	1.4042809578332822e-08	1.3593424277878697e-08	1.418272210390853e-08
133	1.4042809578332822e-08	1.3644570360311483e-08	1.4186491728125018e-08
134	1.4042809578332822e-08	1.369611069864197e-08	1.4190258324923777e-08
135	1.4042809578332822e-08	1.374799383971504e-08	1.419401888394399e-08
136	1.4042809578332822e-08	1.3800151405505451e-08	1.4197760848946167e-08
137	1.4042809578332822e-08	1.3852486965007463e-08	1.4201472597862747e-08
138	1.4042809578332822e-08	1.3904872305799284e-08	1.420514758503525e-08
139	1.4042809578332822e-08	1.395713342058134e-08	1.4208782977965088e-08
140	1.4042809578332822e-08	1.400905196428109e-08	1.4212398489168885e-08
141	1.4042809578332822e-08	1.4060361093613192e-08	1.4215992759201881e-08
142	1.4042809578332822e-08	1.4110816311635466e-08	1.4219545527805804e-08
143	1.4042809578332822e-08	1.4160229762517559e-08	1.4223050944071151e-08
144	1.4042809578332822e-08	1.4208419674097308e-08	1.4226475126944175e-08
145	1.4042809578332822e-08	1.4255243966313516e-08	1.4229756431974203e-08
146	1.4042809578332822e-08	1.4300573981891584e-08	1.4232851361849978e-08
147	1.4042809578332822e-08	1.434427850859188e-08	1.4235692532345484e-08
148	1.4042809578332822e-08	1.4386227208454544e-08	1.4238214722292553e-08
149	1.4042809578332822e-08	1.4426310952045696e-08	1.4240327342526205e-08
150	1.4042809578332822e-08	1.446444287407173e-08	1.424193008028522e-08
151	1.4042809578332822e-08	1.4500576695897895e-08	1.4242922199720794e-08
152	1.4042809578332822e-08	1.4534697395228027e-08	1.4243215597045488e-08
153	1.4042809578332822e-08	1.4566804645655102e-08	1.4242707464657532e-08
154	1.4042809578332822e-08	1.4596910563370063e-08	1.4241300141740954e-08
155	1.4042809578332822e-08	1.4625041175407216e-08	1.4238876958713528e-08
156	1.4042809578332822e-08	1.465123089165993e-08	1.4235322399465003e-08
157	1.4042809578332822e-08	1.4675518908322695e-08	1.4230501656534453e-08
158	1.4042809578332822e-08	1.469794769335012e-08	1.4224312217260633e-08
159	1.4042809578332822e-08	1.4718562947832714e-08	1.4216687323406803e-08
160	1.4042809578332822e-08	1.4737412394577024e-08	1.4207552528141856e-08
161	1.4042809578332822e-08	1.4754544447315602e-08	1.4196865634094975e-08
162	1.4042809578332822e-08	1.4770007812415341e-08	1.418450551973238e-08
163	1.4042809578332822e-08	1.4783850838320013e-08	1.4170313276815555e-08
164	1.4042809578332822e-08	1.4796121668863249e-08	1.415410361234263e-08
165	1.4042809578332822e-08	1.4806868152871187e-08	1.4135783675809337e-08
166	1.4042809578332822e-08	1.4816137708950984e-08	1.4115360703509067e-08
167	1.4042809578332822e-08	1.4823977478908604e-08	1.4092992725479468e-08
168	1.4042809578332822e-08	1.4830434658546506e-08	1.4068902768748202e-08
169	1.4042809578332822e-08	1.483555614015034e-08	1.40434178118788e-08
170	1.4042809578332822e-08	1.4839388355606162e-08	1.401699872669778e-08
